Organization Name,Customer Type,City,State,Org Specialty
Sweeten Health: One Oncology: Mary Bird Perkins Cancer Center,Service Provider,Baton Rouge,LA,Oncology
Sweeten Health: One Oncology: Med Oncology Associates of San Diego,Service Provider,Coronado,CA,Oncology
Sweeten Health: One Oncology: University Cancer & Blood Center ,Service Provider,Athens,GA,Oncology
Sweeten Health: OneOncology: Arizona Blood & Cancer,Service Provider,Tucson,AZ,Oncology
Sweeten Health: OneOncology: Carolina Oncology Specialists,Service Provider,Hickory,NC,Oncology
Sweeten Health: OneOncology: ECHO Associates,Service Provider,Norwich,CT,Oncology
Sweeten Health: OneOncology: Oncology Specialists of Charlotte,Service Provider,Charlotte,NC,Oncology
Sweeten Health: OneOncology: Pacific Cancer Care,Service Provider,Monterey,CA,Oncology
Sweeten Health: OneOncology: Pennsylvania Cancer Specialists Research Institute,Service Provider,Hanover,PA,Oncology
Sweeten Health: Oregon Rheumatology,Service Provider,Hillsboro,OR,Rheumatology
Sweeten Health: PCP: Advanced Primary Care,Service Provider,Fanwood,NJ,Primary Care
Sweeten Health: PCP: Boonton Medical Associates,Service Provider,Boonton,NJ,Primary Care
Sweeten Health: PCP: Dr. Dabrowski,Service Provider,Mountain Lakes,NJ,Primary Care
Sweeten Health: PCP: Dr. Kenneth Miller,Service Provider,Randolph,NJ,Primary Care
Sweeten Health: PCP: Eastern Vascular Associates,Service Provider,Denville,NJ,Cardiology
Sweeten Health: PCP: Family Medical Center at Dover,Service Provider,Dover ,DE,Primary Care
Sweeten Health: PCP: Morris County Primary Care,Service Provider,Morris Plains,NJ,Primary Care
Sweeten Health: PCP: Pleasant Run Family Physicians,Service Provider,Neshanic Station,NJ,Primary Care
Sweeten Health: PCP: Prime Health Medical,Service Provider,Newark,NJ,Primary Care
Sweeten Health: PCP: Summit Springfield Family Medicine,Service Provider,Summit,NJ,Primary Care
Sweeten Health: Premier Mountain Adult Medicine,Service Provider, Show Low,CA,Primary Care
Sweeten Health: Princeton and Rutgers Neurology,Service Provider,Somerset,NJ,Neurology
Sweeten Health: Pulmonary and Critical Care Medicine,Service Provider,Dallas,TX,Pulmonology
Sweeten Health: Pulmonary Associates,Service Provider,Phoenix,AZ,Pulmonology
Sweeten Health: Soledad Medical Clinic,Service Provider,Soledad,CA,Primary Care
Sweeten Health: Southern Kidney ,Service Provider,Nashville,TN,Nephrology
Sweeten Health: Texas Pain Physicians,Service Provider,Pearland,TX,Pain Management
Sweeten Health: UPSA: Caritas Family Medicine,Service Provider,San Antonio,TX,Primary Care
Sweeten Health: UPSA: General Physicians Group,Service Provider,San Antonio,TX,Primary Care
Sweeten Health: UPSA: Medina Valley Family Practice,Service Provider,Castroville,TX,Nephrology
Sweeten Health: UPSA: White,Service Provider,San Antonio,TX,Primary Care
Sweeten Health: USHP: Cardiology Physicians,Service Provider, Newark,DE,Cardiology
Sweeten Health: USHP: Carient Heart & Vascular,Service Provider,Annandale,VA,Cardiology
Sweeten Health: USHP: Stuart Cardiology,Service Provider,Stuart,FL,Cardiology
TeleConnected Medicine: Manchester Rural Health Clinic,Service Provider,Manchester,TN,Primary Care
TeleConnected: Alta Vista Regional Hospital,Service Provider,Las Vegas,NM,Primary Care
TeleConnected: Blue Ridge Medical Group,Service Provider,Raleigh,NC,Primary Care
TeleConnected: RC360: Charlton Primary Care,Service Provider,Folkston,GA,Primary Care
"TeleConnected: RC360: HopeHealth, Inc.",Service Provider,Atlanta,GA,Primary Care
"TeleConnected: RC360: Kidney and Primary Care of Texas, LLC",Service Provider,San Antonio,TX,Nephrology
TeleConnected: RC360: Kidney Clinic LaGrange,Service Provider,LaGrange,GA,Nephrology
TeleConnected: RC360: Nephrology of the Golden Isles,Service Provider,Brentwood,TN,Nephrology
TeleConnected: RC360: South Carolina Nephrology and Hypertension Center Inc,Service Provider,Orangeburg,SC,Nephrology
TeleConnected: RC360: The Kidney Clinic of Cordele,Service Provider,Cordele,GA,Nephrology
TeleConnected: RC360: Valdosta Kidney Clinic,Service Provider,Valdosta,GA,Nephrology
The Bonin Clinic,Group Practice,Zachary,LA,Primary Care
"The Kidney Experts, PLLC",Group Practice,Jackson,TN,Nephrology
The NeuroMedical Center,Health System,Baton Rouge,LA,Neurology
Thomas Health,Health System,Charleston,WV,Multi-Specialty
TriState Centers for Sight - Midwest Eye Center,Group Practice,Cincinnati,OH,Opthalmology
Upperline Health,Practice Conglomerate,Nashville,TN,Primary Care
Vascular Institute of Michigan,Group Practice,Flint,MI,Cardiology
Warrenfield Medical Center,Group Practice,Dearborn,MI,Primary Care
WellCare: Alliance Mental Health Services,Managed Care Organization,Las Vegas,NV,Behavioral Health
Wellcare: The Wellcare Group,Managed Care Organization,Las Vegas,NV,Primary Care
Western Missouri Medical Center,Health System,Warrensburg,MO,Multi-Specialty
"Western Nephrology and Metabolic Bone Disease, PC",Group Practice,Wheat Ridge,CO,Nephrology
Western Washington Medical Group,Group Practice,Everett,WA,Multi-Specialty
